EmpID,FirstName,LastName,StartDate,ExitDate,Supervisor,ADEmail,EmployeeType,TerminationType,TerminationDescription,DOB,SSN,Address,City,State,JobTitle,Salary,Gender,Race,MaritalStatus,PerformanceScore,CurrentEmployeeRating
1940,Dario,Shaw,28-May-23,,Stephanie Kerr,dario.shaw@bestremotejob.com,Contract,Unk,,9/3/1948,499-15-3708,743 Joseph Lakes Apt. 318,Francisburgh,PW,Financial Analyst,115418,Female,Asian,Widowed,Fully Meets,3
3898,Anaya,Preston,14-Dec-18,11-Feb-23,Denise Oconnor,anaya.preston@bestremotejob.com,Part-Time,Retirement,Cut during return could hit view born present.,11/7/1948,273-35-2963,44636 John Square Suite 642,New Alanbury,MD,Computer Systems Analyst,138549,Male,Asian,Single,Fully Meets,3
1145,Autumn,Barrera,24-Sep-20,,David Moore,autumn.barrera@bestremotejob.com,Contract,Unk,,3/4/1949,379-65-8306,037 Quinn Route,Garrisonmouth,CA,Computer Systems Analyst,138747,Male,Hispanic,Married,Fully Meets,3
3618,Charlee,Roth,4-Feb-23,,Erin Harris,charlee.roth@bestremotejob.com,Part-Time,Unk,,4/12/1949,921-45-2245,527 Ashley Manor,South Crystal,NE,Customer Service Representative,84826,Male,Black,Married,Fully Meets,3
3473,Chaim,Mata,29-Jun-23,,Desiree Vang,chaim.mata@bestremotejob.com,Part-Time,Unk,,7/3/1949,889-42-7505,124 York Bridge Apt. 090,Jamesborough,IN,Project Manager,150292,Male,Hispanic,Widowed,Exceeds,2
1744,Mei,Trang,24-Jul-22,,Teresa Murray,mei.trang@bestremotejob.com,Full-Time,Unk,,7/5/1949,139-36-9222,1058 Mark Highway,Lake Maryland,NM,IT Support Specialist,59771,Female,Hispanic,Married,Fully Meets,3
1939,Angelina,Peck,6-Jun-19,,Michele Riddle,angelina.peck@bestremotejob.com,Contract,Unk,,7/10/1949,245-34-2333,1557 Moore Mountains Apt. 077,Millertown,AK,Warehouse Driver,69103,Female,Asian,Married,Fully Meets,3
2506,Trey,Johnston,30-Jun-22,,Jacob Robinson,trey.johnston@bestremotejob.com,Full-Time,Unk,,11/5/1949,661-80-6044,6183 Robert Circles,North Jacob,WV,Sales Representative,71273,Male,White,Single,Fully Meets,5
3762,Gavyn,Riggs,18-Jul-20,,Lauren Villarreal,gavyn.riggs@bestremotejob.com,Part-Time,Unk,,11/5/1949,210-99-4059,63871 Camacho Glen Apt. 556,Richardberg,MI,Warehouse Driver,67184,Female,Black,Divorced,Fully Meets,2
1184,Patrick,Mckinney,10-Jan-22,11-May-23,Cassandra Cox,patrick.mckinney@bestremotejob.com,Full-Time,Involuntary,New out peace director fish.,11/11/1949,776-55-1246,4469 Holt Divide Suite 740,Hahnberg,AZ,IT Support Specialist,57544,Female,Hispanic,Divorced,Fully Meets,3
1910,Adrian,Murray,5-Jan-19,,Jose Gomez,adrian.murray@bestremotejob.com,Full-Time,Unk,,11/11/1949,303-32-0884,62145 Collier Wells,Jasmineside,NE,Administrative Assistant,61422,Female,Hispanic,Divorced,Fully Meets,3
1417,Paisley,Avery,30-Mar-21,,Bobby Martinez,paisley.avery@bestremotejob.com,Full-Time,Unk,,1/10/1950,177-24-4547,168 Chris Roads Suite 459,Harveyport,OH,Project Manager,124690,Female,Other,Single,Exceeds,3
3952,Kramer,Simard,13-Mar-21,,Donna Young,kramer.simard@bestremotejob.com,Full-Time,Unk,,1/11/1950,712-30-7209,1552 Klein Shoals,New Dawnstad,LA,Customer Service Representative,90703,Male,Black,Single,Fully Meets,3
2750,Patrick,Moran,4-Jun-22,,Timothy Roman,patrick.moran@bestremotejob.com,Full-Time,Unk,,7/3/1950,876-03-4675,5102 Drew Street Apt. 317,Wilkinsville,AS,Web Designer,80150,Male,Asian,Divorced,Fully Meets,4
3831,Payton,Cross,14-Sep-18,,John Holt,payton.cross@bestremotejob.com,Part-Time,Unk,,7/3/1950,451-45-0405,64132 Savage Land,Guerreroburgh,FL,Web Designer,107323,Female,Hispanic,Divorced,Needs Improvement,3
1067,Gavin,Frye,14-Nov-20,,Carla Cox,gavin.frye@bestremotejob.com,Part-Time,Unk,,7/11/1950,710-11-9343,3030 Bell Islands,Boonefort,NC,Technical Writer,104004,Female,White,Married,Fully Meets,3
1002,Sandra,Martin,12-Dec-22,28-May-23,Angela Hayes,sandra.martin@bestremotejob.com,Part-Time,Involuntary,Behind buy our of very claim.,8/7/1950,989-68-1913,597 Smith Point,Hollandfort,NV,Account Executive,156395,Female,Asian,Widowed,Fully Meets,3
3394,Harley,Beard,24-May-21,,Meghan Green,harley.beard@bestremotejob.com,Contract,Unk,,8/10/1950,340-73-1854,4620 Bird Mills,North Derrickshire,IN,Account Executive,168163,Male,Black,Divorced,Fully Meets,2
3032,Cristofer,Schwartz,27-Mar-23,23-Jul-23,Maria Hall,cristofer.schwartz@bestremotejob.com,Part-Time,Voluntary,Market effect Mrs owner.,8/11/1950,111-60-2499,277 Erica Extensions Suite 175,Jaclynborough,OK,IT Support Specialist,70099,Male,Asian,Married,Fully Meets,2
3970,Macy,Webster,4-Oct-20,27-Apr-23,Cynthia Gardner,macy.webster@bestremotejob.com,Part-Time,Voluntary,Push reflect pay similar movement others morning.,8/11/1950,774-42-1672,89014 Charles Via,Kennedyview,WI,Budget/Accounting Analyst,107433,Female,Other,Married,Exceeds,3
2621,Laura,Bullock,14-Sep-18,,Mr. Benjamin Lucas,laura.bullock@bestremotejob.com,Part-Time,Unk,,9/12/1950,343-39-2596,9043 Johnny Rapids,New Joshuaport,RI,IT Support Specialist,65994,Male,White,Single,Fully Meets,2
3800,Amya,Grant,11-Jul-19,,Jamie Henderson,amya.grant@bestremotejob.com,Contract,Unk,,9/12/1950,881-07-8651,7885 Bradley Junctions,Smithside,NJ,IT Support Specialist,65621,Male,Other,Married,Fully Meets,3
2828,Jaydon,Lambert,15-Oct-21,26-Mar-23,Dennis Foster,jaydon.lambert@bestremotejob.com,Full-Time,Retirement,Camera parent choose add edge product keep.,2/7/1951,719-42-7359,23206 Daniels Unions Apt. 795,Mooretown,SC,IT Support Specialist,68705,Female,Black,Single,Fully Meets,2
3858,Bailey,Humphrey,22-Jan-22,,Gerald Yu,bailey.humphrey@bestremotejob.com,Full-Time,Unk,,2/7/1951,653-49-7747,351 Justin Center,West Michael,PR,Computer Systems Analyst,153373,Male,Other,Married,Fully Meets,3
1906,Bryce,Mills,22-Feb-21,,Holly Hudson,bryce.mills@bestremotejob.com,Part-Time,Unk,,2/8/1951,689-77-6930,0516 Norris Pine,New Julieville,TN,IT Support Specialist,83212,Male,Hispanic,Widowed,Fully Meets,3
3942,Bianca,Roehrich,4-Nov-18,22-Dec-21,Brian Gamble MD,bianca.roehrich@bestremotejob.com,Contract,Resignation,Begin mind time similar night travel.,4/9/1951,472-25-1454,7497 Rios Place Suite 229,Saraberg,MT,Senior Sales Associate,73394,Female,Asian,Married,PIP,3
1236,Ramon,Goodwin,25-Nov-18,25-Jul-19,Tina Morgan,ramon.goodwin@bestremotejob.com,Part-Time,Retirement,Source join scientist personal when each.,6/11/1951,195-34-7350,621 Mitchell Glen Apt. 704,Leehaven,WV,Web Designer,102003,Female,White,Married,Fully Meets,3
3148,Gustavo,Durham,28-May-20,14-Dec-21,Adrienne Barnett,gustavo.durham@bestremotejob.com,Full-Time,Voluntary,Draw health deal.,8/4/1951,167-02-2715,190 Mccoy Square Apt. 861,Port Amy,NV,Project Manager,130932,Male,White,Single,Exceeds,2
3739,Amir,Melendez,24-Aug-18,22-Mar-21,Rachel Pham,amir.melendez@bestremotejob.com,Full-Time,Voluntary,Themselves specific seem want seek hospital.,9/3/1951,314-89-5073,030 Pratt Causeway Suite 728,Lake Ericaview,HI,Sales Representative,66881,Female,Asian,Divorced,Fully Meets,3
1920,Darius,Duke,26-Jan-21,6-Aug-21,Mary Morgan,darius.duke@bestremotejob.com,Full-Time,Retirement,Avoid song interview them class.,2/3/1952,874-22-2718,9683 Houston Alley,Lake Bobbytown,GU,Digital Marketing Manager,152167,Female,Hispanic,Widowed,Fully Meets,3
3517,Milagros,Francis,19-Feb-20,,Caleb Schneider,milagros.francis@bestremotejob.com,Part-Time,Unk,,8/4/1952,104-20-7528,70888 Christian Lights,Wademouth,NM,Product Specialist,129508,Male,Hispanic,Widowed,Fully Meets,4
1479,Blaine,Rose,6-Jan-21,,Sandra Blackwell,blaine.rose@bestremotejob.com,Part-Time,Unk,,2/5/1953,786-75-0952,6417 Yoder Summit Apt. 056,Mayoside,DE,Technical Writer,119281,Female,White,Married,Exceeds,3
2758,Jonathan R,LeBel,20-Dec-18,13-Jun-23,James Austin,jonathan r.lebel@bestremotejob.com,Part-Time,Involuntary,Difference require discuss.,12/5/1953,933-39-4024,6181 Hall Land,Gregoryside,PR,Customer Service Representative,88755,Male,Other,Divorced,Fully Meets,2
3833,Elise,Vazquez,26-Jan-22,2-Nov-22,Melissa Baker,elise.vazquez@bestremotejob.com,Full-Time,Retirement,Partner discover size agency alone.,12/5/1953,165-60-6278,684 Oconnor Isle Apt. 952,East Williamport,FM,Customer Service Representative,92506,Male,Asian,Single,PIP,3
2382,Davion,Friedman,17-Jul-23,28-Jul-23,Mark Wood,davion.friedman@bestremotejob.com,Part-Time,Involuntary,Light free he rest thought.,3/7/1954,111-13-8641,81160 Carrie Plaza Suite 570,North Stevenburgh,MD,Project Manager,123292,Male,Asian,Single,Fully Meets,1
3732,Orion,Ochoa,31-May-20,,Charles Hoover,orion.ochoa@bestremotejob.com,Part-Time,Unk,,3/7/1954,494-99-5599,910 Gabriela Village,Nicolebury,GA,Senior Engineer,176574,Male,Black,Widowed,Fully Meets,5
2146,Frankie,Franklin,25-Dec-19,4-Jun-23,Jerry Peters,frankie.franklin@bestremotejob.com,Full-Time,Resignation,Line close that rich.,3/8/1954,131-04-1849,8328 Sandoval Canyon,Scottville,DE,IT Support Specialist,57191,Female,Other,Divorced,Exceeds,2
3684,Noelle,Levy,1-Dec-19,25-Dec-22,Robert Simmons,noelle.levy@bestremotejob.com,Contract,Involuntary,Scientist believe edge imagine push bit fast.,3/8/1954,186-48-7367,664 Jennifer Mission Suite 103,Spencerville,CA,Quality Engineer,113677,Male,Hispanic,Widowed,Fully Meets,3
1673,Titus,Lowe,21-Aug-19,,April Gallagher,titus.lowe@bestremotejob.com,Part-Time,Unk,,4/7/1954,120-64-8861,508 Freeman Creek,Freemanbury,ND,Web Designer,104306,Female,Other,Widowed,Fully Meets,3
3175,Raphael,Whitney,23-Jul-23,1-Aug-23,Richard Cox,raphael.whitney@bestremotejob.com,Full-Time,Voluntary,Foreign friend policy green.,6/11/1954,694-40-8407,89367 Aimee Plains,Hartmanmouth,LA,Procurement Manager,128790,Female,Asian,Single,Fully Meets,1
2439,Cordell,Vazquez,21-Aug-21,,Paula Henderson,cordell.vazquez@bestremotejob.com,Contract,Unk,,12/10/1954,633-91-8688,545 Jennifer Expressway,Lake Laurieborough,MH,Account Executive,149559,Female,White,Single,Fully Meets,5
3049,Carlie,Wagner,2-Jul-23,25-Jul-23,Joshua Diaz,carlie.wagner@bestremotejob.com,Part-Time,Involuntary,Congress foot television team.,7/6/1955,297-65-2221,52238 Schmidt Passage Suite 203,Sandraburgh,MP,Customer Service Representative,85966,Female,Asian,Married,Fully Meets,4
3581,Ross,Strickland,20-Nov-20,1-May-23,Paul Walker,ross.strickland@bestremotejob.com,Full-Time,Voluntary,Memory high then mind concern carry level life.,11/12/1955,873-21-7929,4969 Paul Lock Apt. 228,Crystalborough,TX,Senior Engineer,178144,Male,Other,Divorced,Fully Meets,2
2131,Kaiya,Marsh,6-Jun-20,12-Mar-22,John Harvey,kaiya.marsh@bestremotejob.com,Part-Time,Resignation,Dream enough treatment knowledge area.,6/1/1956,634-86-4971,41501 Wagner Parks Apt. 574,Sanchezbury,SC,Customer Service Representative,71705,Female,Black,Widowed,Needs Improvement,4
1032,Kiley,Haynes,19-Apr-22,26-Aug-22,Dominique Bailey,kiley.haynes@bestremotejob.com,Full-Time,Voluntary,Off part culture choose strong public.,8/3/1956,620-48-3695,442 Lewis Mount,Youngfurt,GA,Product Manager,122862,Male,Asian,Widowed,Fully Meets,3
2675,Kayden,Fernandez,29-Nov-20,16-Jul-22,Monica Miller,kayden.fernandez@bestremotejob.com,Part-Time,Resignation,Board up meet away firm yet human find.,10/8/1956,113-82-4239,2313 Thomas Shoal Apt. 427,Bruceville,OR,Senior Engineer,184689,Male,Hispanic,Divorced,Fully Meets,5
2749,Elizabeth,Meads,15-Nov-18,19-Nov-18,Matthew Wilcox,elizabeth.meads@bestremotejob.com,Full-Time,Retirement,He PM simply interesting.,12/3/1956,466-06-3934,7431 Nichole Bypass,Nicoleborough,NV,Web Designer,99229,Female,Black,Widowed,Fully Meets,5
3604,Kane,Owen,16-Jan-19,31-Aug-22,Mark Hale,kane.owen@bestremotejob.com,Part-Time,Resignation,Sometimes surface page stand area.,4/10/1957,218-96-9682,6335 Sara Pines,East Danielview,AL,IT Support Specialist,74727,Female,Hispanic,Divorced,Needs Improvement,4
1168,Melody,Rollins,19-Jan-23,,Mark Ellis,melody.rollins@bestremotejob.com,Contract,Unk,,7/3/1957,458-88-6836,611 Thomas Dam Suite 296,East Melinda,OH,Product Manager,134040,Female,White,Married,Fully Meets,3
1429,Deven,Vincent,22-Nov-19,12-Mar-22,Lisa Spencer,deven.vincent@bestremotejob.com,Contract,Resignation,History avoid music new teach south only require.,10/10/1957,117-61-2169,4028 Victoria Trace Suite 510,Camachostad,KY,Computer Systems Analyst,167389,Female,Hispanic,Divorced,Exceeds,3
3068,Alana,Nunez,22-May-22,8-Dec-22,Rose Johnson,alana.nunez@bestremotejob.com,Full-Time,Resignation,Seat type month.,12/6/1957,697-04-4403,9946 Deborah Plains Apt. 186,Port Anthony,GU,Customer Service Representative,73857,Male,Asian,Single,Fully Meets,5
3553,Khalil,Mendez,20-Jan-20,,Regina Martinez,khalil.mendez@bestremotejob.com,Contract,Unk,,1/10/1958,635-64-4540,66950 Michelle Locks,South Carolynfort,NC,Senior Engineer,170152,Male,Black,Divorced,Fully Meets,4
1560,Aron,Graham,20-Dec-21,2-Dec-22,Tyler Jackson,aron.graham@bestremotejob.com,Full-Time,Retirement,Sea people east bar indicate garden along.,3/1/1958,510-64-8853,814 Freeman Run,Lake Juan,IA,Project Manager,125477,Male,Other,Divorced,Fully Meets,3
3169,Cristian,Ritter,8-Jun-19,29-Jan-21,Jade Howell,cristian.ritter@bestremotejob.com,Part-Time,Resignation,Find by campaign. Bit oil show cultural up smile.,8/4/1958,565-27-6735,5410 Burton Station,Alyssaland,TX,Safety Technician,104725,Female,Other,Single,Exceeds,4
2909,Nancy,Barrett,28-Mar-19,,Michael Kim,nancy.barrett@bestremotejob.com,Full-Time,Unk,,8/6/1958,333-20-6089,815 Grace Oval Suite 883,West Michael,IA,Customer Service Representative,72524,Female,Hispanic,Single,Needs Improvement,1
2662,Cody,Bates,2-Feb-21,,Brittney Young,cody.bates@bestremotejob.com,Contract,Unk,,11/3/1958,215-52-3252,6713 Olivia Fork,North Wendy,MO,Product Specialist,118960,Male,Asian,Single,Fully Meets,2
2904,Marquis,Atkinson,15-Feb-20,20-Oct-20,William Livingston,marquis.atkinson@bestremotejob.com,Full-Time,Retirement,Feel individual dog in sort product.,2/3/1959,742-01-4333,44687 Taylor Roads Suite 944,New Angie,AZ,IT Support Specialist,83049,Female,Other,Widowed,Exceeds,4
1764,Donavan,Chavez,17-Jan-23,,Robert Rios,donavan.chavez@bestremotejob.com,Full-Time,Unk,,4/6/1959,533-81-4821,392 Daniel Parkways Suite 034,Jessicaview,WI,Product Specialist,117687,Female,Black,Married,Fully Meets,3
2844,Litzy,Lloyd,30-Dec-20,25-Jul-23,Anthony Saunders,litzy.lloyd@bestremotejob.com,Contract,Retirement,Process firm life from final medical.,9/11/1959,361-88-0505,13317 Tiffany Locks Suite 582,East Martinfurt,WA,Office Assistant,83251,Male,Asian,Widowed,Fully Meets,5
2647,Rylan,Key,9-Jan-19,,Lisa Johnson,rylan.key@bestremotejob.com,Contract,Unk,,10/10/1959,514-40-5567,203 Johnson Plaza Suite 049,Josephborough,HI,IT Support Specialist,63159,Male,Hispanic,Single,Fully Meets,5
2124,Spencer,Hicks,21-Feb-23,9-Jul-23,Kristin Lee,spencer.hicks@bestremotejob.com,Contract,Voluntary,New serve test what conference management.,4/2/1960,181-84-1025,0131 Gregory Corners Apt. 815,North Williamland,MN,Sales Representative,60217,Female,White,Single,Exceeds,2
2900,Katelyn,Garner,31-Oct-21,12-Jul-23,Christine Owens,katelyn.garner@bestremotejob.com,Part-Time,Resignation,Bar poor finish culture movie despite.,4/7/1960,732-07-3945,05416 Alvarez Corners,New Charlesview,MI,Technical Writer,114338,Male,White,Widowed,Exceeds,2
1759,Jose,Houston,23-Jan-21,23-Oct-22,Patricia Newman,jose.houston@bestremotejob.com,Contract,Retirement,Benefit turn that with well may former if.,6/6/1960,219-76-6050,05460 Laura Ford Apt. 015,Phillipstown,TN,Human Resources Assistant,80616,Male,White,Married,Fully Meets,3
